,,,,,Detailed price,,,,
Level,Gem color,PV,Price,Illustration,(w)hite,bl(u)e,(g)reen,(r)ed,blac(k)
1,black,,1w+1u+1g+1r,mine (black),1,1,1,1,
1,black,,1w+2u+1g+1r,mine (black),1,2,1,1,
1,black,,2w+2u+1r,mine (black),2,2,,1,
1,black,,1g+3r+1k,mine (black),,,1,3,1
1,black,,2g+1r,mine (black),,,2,1,
1,black,,2w+2g,mine (black),2,,2,,
1,black,,3g,mine (black),,,3,,
1,black,1,4u,mine (black),,4,,,
1,blue,,1w+1g+1r+1k,mine (blue),1,,1,1,1
1,blue,,1w+1g+2r+1k,mine (blue),1,,1,2,1
1,blue,,1w+2g+2r,mine (blue),1,,2,2,
1,blue,,1u+3g+1r,mine (blue),,1,3,1,
1,blue,,1w+2k,mine (blue),1,,,,2
1,blue,,2g+2k,mine (blue),,,2,,2
1,blue,,3k,mine (blue),,,,,3
1,blue,1,4r,mine (blue),,,,4,
1,white,,1u+1g+1r+1k,mine (white),,1,1,1,1
1,white,,1u+2g+1r+1k,mine (white),,1,2,1,1
1,white,,2u+2g+1k,mine (white),,2,2,,1
1,white,,3w+1u+1k,mine (white),3,1,,,1
1,white,,2r+1k,mine (white),,,,2,1
1,white,,2u+2k,mine (white),,2,,,2
1,white,,3u,mine (white),,3,,,
1,white,1,4g,mine (white),,,4,,
1,green,,1w+1u+1r+1k,mine (green),1,1,,1,1
1,green,,1w+1u+1r+2k,mine (green),1,1,,1,2
1,green,,1u+2r+2k,mine (green),,1,,2,2
1,green,,1w+3u+1g,mine (green),1,3,1,,
1,green,,2w+1u,mine (green),2,1,,,
1,green,,2u+2r,mine (green),,2,,2,
1,green,,3r,mine (green),,,,3,
1,green,1,4k,mine (green),,,,,4
1,red,,1w+1u+1g+1k,mine (red),1,1,1,,1
1,red,,2w+1u+1g+1k,mine (red),2,1,1,,1
1,red,,2w+1g+2k,mine (red),2,,1,,2
1,red,,1w+1r+3k,mine (red),1,,,1,3
1,red,,2u+1g,mine (red),,2,1,,
1,red,,2w+2r,mine (red),2,,,2,
1,red,,3w,mine (red),3,,,,
1,red,1,4w,mine (red),4,,,,
2,black,1,3w+2u+2g,camels,3,2,2,,
2,black,1,3w+3g+2k,camels,3,,3,,2
2,black,2,1u+4g+2r,camels,,1,4,2,
2,black,2,5g+3r,lapidary (black),,,5,3,
2,black,2,5w,lapidary (black),5,,,,
2,black,3,6k,lapidary (black),,,,,6
2,blue,1,2u+2g+3r,elephants,,2,2,3,
2,blue,1,2u+3g+3k,elephants,,2,3,,3
2,blue,2,5w+3u,elephants,5,3,,,
2,blue,2,2w+1r+4k,lapidary (blue),2,,,1,4
2,blue,2,5u,lapidary (blue),,5,,,
2,blue,3,6u,lapidary (blue),,6,,,
2,white,1,3g+2r+2k,people in snow,,,3,2,2
2,white,1,2w+3u+3r,people in snow,2,3,,3,
2,white,2,1g+4r+2k,people in snow,,,1,4,2
2,white,2,5r+3k,lapidary (white),,,,5,3
2,white,2,5r,lapidary (white),,,,5,
2,white,3,6w,lapidary (white),6,,,,
2,green,1,3w+2g+3r,guy (green),3,,2,3,
2,green,1,2w+3u+2k,guy (green),2,3,,,2
2,green,2,4w+2u+1k,guy (green),4,2,,,1
2,green,2,5u+3g,carrack,,5,3,,
2,green,2,5g,carrack,,,5,,
2,green,3,6g,carrack,,,6,,
2,red,1,2w+2r+3k,felucca,2,,,2,3
2,red,1,3u+2r+3k,felucca,,3,,2,3
2,red,2,1w+4u+2g,felucca,1,4,2,,
2,red,2,3w+5k,lapidary (red),3,,,,5
2,red,2,5k,lapidary (red),,,,,5
2,red,3,6r,lapidary (red),,,,6,
3,black,3,3w+3u+5g+3r,street1,3,3,5,3,
3,black,4,7r,street2,,,,7,
3,black,4,3g+6r+3k,street2,,,3,6,3
3,black,5,7r+3k,street1,,,,7,3
3,blue,3,3w+3g+3r+5k,Venice,3,,3,3,5
3,blue,4,7w,Venice,7,,,,
3,blue,4,6w+3u+3k,diamant shop,6,3,,,3
3,blue,5,7w+3u,diamant shop,7,3,,,
3,white,3,3u+3g+5r+3k,building (white),,3,3,5,3
3,white,4,7k,"""Gioielleria""",,,,,7
3,white,4,3w+3r+6k,"""Gioielleria""",3,,,3,6
3,white,5,3w+7k,building (white),3,,,,7
3,green,3,5w+3u+3r+3k,timbered house,5,3,,3,3
3,green,4,7u,bridge,,7,,,
3,green,4,3w+6u+3g,bridge,3,6,3,,
3,green,5,7u+3g,timbered house,,7,3,,
3,red,3,3w+5u+3g+3k,equestrian statue,3,5,3,,3
3,red,4,7g,equestrian statue,,,7,,
3,red,4,3u+6g+3r,building (red),,3,6,3,
3,red,5,7g+3r,building (red),,,7,3,
